nombre,tipo,clase
León africano,terrestre,mamífero
Tigre de Bengala,terrestre,mamífero
Tigre siberiano,terrestre,mamífero
Tigre de Sumatra,terrestre,mamífero
Leopardo africano,terrestre,mamífero
Leopardo de las nieves,terrestre,mamífero
Jaguar,terrestre,mamífero
Puma,terrestre,mamífero
Guepardo,terrestre,mamífero
Pantera nebulosa,terrestre,mamífero
Lince ibérico,terrestre,mamífero
Lince rojo,terrestre,mamífero
Lince canadiense,terrestre,mamífero
Lince boreal,terrestre,mamífero
Ocelote,terrestre,mamífero
Margay,terrestre,mamífero
Serval,terrestre,mamífero
Caracal,terrestre,mamífero
Gato montés europeo,terrestre,mamífero
Gato doméstico,terrestre,mamífero
Jaguarundi,terrestre,mamífero
Gato de Pallas,terrestre,mamífero
Gato pescador,terrestre,mamífero
Gato de las arenas,terrestre,mamífero
Tigrillo,terrestre,mamífero
Lobo gris,terrestre,mamífero
Lobo ártico,terrestre,mamífero
Lobo ibérico,terrestre,mamífero
Lobo mexicano,terrestre,mamífero
Coyote,terrestre,mamífero
Chacal dorado,terrestre,mamífero
Chacal de lomo negro,terrestre,mamífero
Dingo,terrestre,mamífero
Licaón,terrestre,mamífero
Cuón,terrestre,mamífero
Zorro rojo,terrestre,mamífero
Zorro ártico,terrestre,mamífero
Fénec,terrestre,mamífero
Zorro gris,terrestre,mamífero
Zorro orejudo,terrestre,mamífero
Lobo de crin,terrestre,mamífero
Perro mapache,terrestre,mamífero
Pastor alemán,terrestre,perro doméstico
Rottweiler,terrestre,perro doméstico
Dóberman,terrestre,perro doméstico
Pitbull,terrestre,perro doméstico
Chihuahua,terrestre,perro doméstico
San bernardo,terrestre,perro doméstico
Husky siberiano,terrestre,perro doméstico
Gran danés,terrestre,perro doméstico
Beagle,terrestre,perro doméstico
Labrador retriever,terrestre,perro doméstico
Mastín tibetano,terrestre,perro doméstico
Galgo español,terrestre,perro doméstico
Bulldog inglés,terrestre,perro doméstico
Pastor belga malinois,terrestre,perro doméstico
Border collie,terrestre,perro doméstico
Dogo argentino,terrestre,perro doméstico
Caniche,terrestre,perro doméstico
Teckel,terrestre,perro doméstico
Oso grizzly,terrestre,mamífero
Oso polar,terrestre,mamífero
Oso negro americano,terrestre,mamífero
Oso pardo europeo,terrestre,mamífero
Oso kodiak,terrestre,mamífero
Panda gigante,terrestre,mamífero
Oso de anteojos,terrestre,mamífero
Oso malayo,terrestre,mamífero
Oso bezudo,terrestre,mamífero
Oso negro asiático,terrestre,mamífero
Gorila de montaña,terrestre,mamífero
Gorila occidental de llanura,terrestre,mamífero
Chimpancé,terrestre,mamífero
Bonobo,terrestre,mamífero
Orangután de Borneo,terrestre,mamífero
Orangután de Sumatra,terrestre,mamífero
Gibón de manos blancas,terrestre,mamífero
Siamang,terrestre,mamífero
Mandril,terrestre,mamífero
Dril,terrestre,mamífero
Babuino oliva,terrestre,mamífero
Babuino chacma,terrestre,mamífero
Gelada,terrestre,mamífero
Macaco japonés,terrestre,mamífero
Macaco rhesus,terrestre,mamífero
Macaco cangrejero,terrestre,mamífero
Mono capuchino,terrestre,mamífero
Mono aullador,terrestre,mamífero
Mono araña,terrestre,mamífero
Mono ardilla,terrestre,mamífero
Mono lanudo,terrestre,mamífero
Tití pigmeo,terrestre,mamífero
Tití común,terrestre,mamífero
Tamarino león dorado,terrestre,mamífero
Tamarino emperador,terrestre,mamífero
Uakari calvo,terrestre,mamífero
